"DATE","ON.OFF","WBIC"
"1979-12-17","on",804600
"1980-03-30","off",804600
"1980-12-20","on",804600
"1981-03-16","off",804600
"1981-12-20","on",804600
"1982-03-30","off",804600
"1983-01-09","on",804600
"1983-03-06","off",804600
"1983-12-18","on",804600
"1984-04-03","off",804600
"1984-12-24","on",804600
"1985-03-26","off",804600
"1985-12-06","on",804600
"1986-03-29","off",804600
"1986-12-13","on",804600
"1987-03-08","off",804600
"1987-12-25","on",804600
"1988-03-25","off",804600
"1988-12-29","on",804600
"1989-04-01","off",804600
"1989-12-07","on",804600
"1990-03-15","off",804600
"1990-12-23","on",804600
"1991-03-21","off",804600
"1991-12-16","on",804600
"1992-03-16","off",804600
"1992-12-24","on",804600
"1993-04-11","off",804600
"1993-12-26","on",804600
"1994-03-31","off",804600
"1995-01-05","on",804600
"1995-03-31","off",804600
"1995-11-29","on",804600
"1996-03-24","off",804600
"1996-12-20","on",804600
"1997-03-26","off",804600
"1998-01-11","on",804600
"1998-02-27","off",804600
"1998-12-30","on",804600
"1999-03-10","off",804600
"2000-01-14","on",804600
"2000-03-06","off",804600
"2000-12-13","on",804600
"2001-03-31","off",804600
"2002-01-01","on",804600
"2002-02-26","off",804600
"2002-12-09","on",804600
"2003-03-22","off",804600
"2003-12-25","on",804600
"2004-03-20","off",804600
"2004-12-24","on",804600
"2005-03-31","off",804600
"2005-12-08","on",804600
"2006-03-12","off",804600
"2007-01-18","on",804600
"2007-03-26","off",804600
"2007-12-07","on",804600
"2008-04-07","off",804600
"2008-12-16","on",804600
"2009-03-24","off",804600
"2009-12-27","on",804600
"2010-03-25","off",804600
