Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YEAR
1979,3.2,8.7,28,39.8,51.9,63.2,68.5,65.1,59.7,44.8,31.9,24.9,40.8
1980,14.4,14.7,25.2,44.8,57.7,63.3,70.5,67.8,57.7,42.6,33.9,18.4,42.6
1981,15.7,21.8,33.3,45.7,53.3,64.4,68.5,67.1,56.6,43.9,36.2,19.2,43.8
1982,3.9,15.1,27.3,39.3,59.2,58.8,69.9,65,57,48.3,31.7,26,41.8
1983,19.4,25.7,31.8,39.7,50,64.6,73.1,71.3,59.4,47.3,34.7,7.4,43.7
1984,11.8,27.6,24,44.5,52.1,66,67.9,69.5,56.2,49.7,32.8,20.7,43.6
1985,10.7,15.1,34.3,47.9,58.8,61.3,68.1,64.4,58.3,46.7,27.2,8.1,41.7
1986,15.8,16.8,32.7,48.3,57.7,64.3,70.6,63.8,58.6,47.1,28.8,23,44
1987,19.9,27.4,35.3,48.6,58.3,68,71.9,66.5,59.4,41.5,36.6,25.4,46.6
1988,10.4,12.9,30.7,43.9,59.4,68.5,72.6,71,59.5,41.3,34.2,19.3,43.6
1989,21.5,10.4,25,41.4,54.1,62.8,70.5,67.2,57.5,48,28.7,9.1,41.4
1990,24.7,20.9,33.6,45.6,51.7,64.9,67.9,66.9,60.4,45.2,37.3,18.3,44.8
1991,11.2,22.4,32.2,46.7,59.5,68.3,68.6,68.4,56.6,45.4,26.8,21.7,44
1992,20.6,25.6,30.2,40.4,56.1,61.6,63.4,62.9,56.6,45.2,30.9,21.3,42.9
1993,15.6,17.1,28.7,39.8,54.6,61.4,68,68.1,52.7,44.2,30.7,22.7,42
1994,4.4,11.8,31.7,43.4,55.3,66.4,67.1,64.2,61.2,49.5,36.8,25.8,43.1
1995,17.2,18,32.4,38.4,53.7,68.3,70,71.9,56.5,47.3,24.8,16.6,42.9
1996,10.4,16,23.3,38.7,51.4,64.3,65.8,67.3,58.8,46.8,26.2,18.2,40.6
1997,12,21.1,29.2,41.1,49.2,66,67.8,63.8,59.5,47.4,30.1,26.6,42.8
1998,20.6,31.8,31.5,46.9,60.7,63.4,69.4,68.9,63,48.9,37.4,25.8,47.4
1999,12.3,26.8,31.9,46.4,58.1,65.3,72.5,65.9,58,45.6,40,23,45.5
2000,15.3,25.4,37.9,42.8,56.8,62.7,67.6,67.5,58.1,50.3,32.7,9.1,43.9
2001,19.5,15,28.1,46.6,56.7,64.3,69.9,69.8,57.2,46,43.5,27.8,45.4
2002,24.3,26.5,24.6,42.9,50.6,66.1,72.7,67.5,61.5,41.9,31.6,24.4,44.6
2003,14,13.9,29.1,42.4,53.4,62.8,68.5,70.1,59.3,46.4,33.1,25.1,43.2
2004,10.9,20.9,33.6,44.4,52.7,61.8,66.8,62.1,62.8,47.8,37,20.7,43.5
2005,14.3,24.5,27.3,47.5,52.2,69,70.6,68.1,63,49.4,34.8,18.6,44.9
2006,28,18.4,31.7,48.8,56,64.8,72.7,68,56.2,42.6,36.6,27.4,45.9
2007,20.6,11.8,34.6,42.6,58.7,66.7,69.3,68.4,60.9,52.3,33.2,17.4,44.7
2008,15,13.3,25.4,42.8,51.7,64.1,68.8,66.3,60.4,46.4,33.5,13,41.7
2009,6.1,20.4,30.1,43.0,55.1,63.6,63.7,64.9,61.4,42.2,40.1,18.3,42.4
2010,15.1,20.0,37.5,50.0,57.7,65.1,71.4,70.8,56.9,49.5,34.9,16.9,45.5
2011,12.3,18.5,28.0,41.7,54.0,64.3,73.2,68.3,57.3,49.8,36.7,25.7,44.2
2012,20.8,26.6,45.6,45.1,59.6,67.1,74.8,67.1,57.7,44.8,34.4,25.1,47.4
2013,16.8,17.0,23.9,37.9,55.2,64.0,68.9,67.6,60.8,46.7,30.8,11.9,41.8
